white	black			average	stdev	stderr				
0.20104888	0.7989511		white	0.445338596	0.138357587	0.007988079		t	9.677282651	significant!
0.6072183	0.3927817		black	0.554661405	0.13835759	0.007988079				
0.2348127	0.76518726									
0.3975837	0.60241634									
0.5023886	0.4976114									
0.6640343	0.3359657									
0.47950777	0.52049226									
0.5254967	0.47450334									
0.26809856	0.73190147									
0.52337545	0.47662455									
0.18578957	0.8142104									
0.26227832	0.7377217									
0.6529463	0.3470537									
0.45122555	0.5487745									
0.27735078	0.7226493									
0.5970271	0.40297288									
0.47685587	0.52314407									
0.42408732	0.57591265									
0.45591947	0.54408056									
0.6008919	0.39910805									
0.63756955	0.36243054									
0.25055534	0.7494447									
0.31955904	0.680441									
0.34690985	0.6530902									
0.43762392	0.562376									
0.5728349	0.42716503									
0.4372662	0.56273377									
0.5809231	0.41907695									
0.49045995	0.5095401									
0.24536546	0.75463456									
0.2800061	0.7199939									
0.3318645	0.66813546									
0.18371427	0.8162858									
0.4759446	0.52405536									
0.52995944	0.47004053									
0.57539165	0.42460844									
0.47302446	0.5269756									
0.5747779	0.425222									
0.54117197	0.45882803									
0.32153612	0.6784639									
0.40671736	0.59328264									
0.39263046	0.60736954									
0.49102575	0.5089743									
0.3825075	0.6174925									
0.50507224	0.49492785									
0.44609347	0.55390656									
0.46102288	0.53897715									
0.4192922	0.58070785									
0.44040635	0.5595936									
0.4216749	0.5783251									
0.5824247	0.41757533									
0.38021675	0.6197833									
0.2384387	0.7615613									
0.20337246	0.7966275									
0.5286459	0.47135413									
0.2735616	0.72643834									
0.25483018	0.7451699									
0.43533352	0.56466645									
0.5143909	0.48560917									
0.41989	0.58011									
0.4269725	0.5730275									
0.3741595	0.6258405									
0.31266928	0.6873308									
0.23306675	0.7669332									
0.2709899	0.72901005									
0.4484217	0.5515783									
0.5314963	0.4685037									
0.45265412	0.5473458									
0.3842473	0.6157527									
0.57927185	0.42072815									
0.6807875	0.31921247									
0.5673269	0.4326731									
0.56814635	0.43185362									
0.43628755	0.5637125									
0.32444623	0.6755538									
0.3918772	0.6081228									
0.3758868	0.6241132									
0.21672888	0.78327113									
0.42729875	0.5727012									
0.5360406	0.46395943									
0.32201707	0.6779829									
0.5060645	0.49393553									
0.77729946	0.22270049									
0.68922675	0.31077322									
0.5107751	0.48922497									
0.30998468	0.6900153									
0.22368497	0.77631503									
0.19704992	0.8029501									
0.33208504	0.667915									
0.42466366	0.5753363									
0.5362665	0.46373343									
0.59605384	0.40394616									
0.45808932	0.5419107									
0.5314825	0.4685174									
0.5622942	0.4377058									
0.28271243	0.7172876									
0.40147725	0.5985228									
0.6001918	0.39980826									
0.5513545	0.4486455									
0.6589347	0.34106523									
0.6494554	0.35054457									
0.6826715	0.3173285									
0.39044285	0.60955715									
0.46699288	0.5330071									
0.38197538	0.6180245									
0.49346045	0.5065395									
0.60717887	0.3928211									
0.55750763	0.44249234									
0.31268758	0.6873124									
0.4581108	0.54188925									
0.26700824	0.7329918									
0.42425743	0.5757426									
0.29573637	0.7042636									
0.1737621	0.82623786									
0.40912774	0.5908723									
0.53648823	0.46351177									
0.41102526	0.5889747									
0.33360675	0.6663932									
0.43186986	0.5681301									
0.37062508	0.629375									
0.53213716	0.4678628									
0.50846124	0.4915387									
0.56374645	0.4362536									
0.40385154	0.5961484									
0.4055177	0.5944823									
0.52461886	0.47538123									
0.53032756	0.46967244									
0.46669313	0.5333069									
0.3413223	0.6586777									
0.5836926	0.41630736									
0.60736346	0.39263648									
0.37625647	0.62374353									
0.29908636	0.7009136									
0.33818987	0.6618101									
0.31522292	0.6847771									
0.39064825	0.60935175									
0.49096742	0.50903255									
0.39679992	0.60320014									
0.452833	0.54716694									
0.5063403	0.49365968									
0.5015711	0.49842888									
0.38229477	0.6177053									
0.38512486	0.6148752									
0.22605337	0.77394664									
0.45920917	0.5407908									
0.47870323	0.5212968									
0.62143016	0.37856984									
0.5081935	0.49180645									
0.41747102	0.582529									
0.540975	0.45902497									
0.40538636	0.5946136									
0.43293786	0.5670622									
0.30378634	0.69621366									
0.59238976	0.40761024									
0.60051584	0.3994841									
0.60344815	0.3965518									
0.40181422	0.5981858									
0.50876373	0.49123624									
0.2692622	0.73073775									
0.49993372	0.5000662									
0.6465742	0.35342577									
0.6592317	0.3407682									
0.38110268	0.6188973									
0.45736712	0.54263294									
0.28787372	0.7121263									
0.39088765	0.6091123									
0.61279607	0.38720396									
0.46062937	0.5393707									
0.6948369	0.30516303									
0.5385057	0.46149433									
0.36259258	0.6374074									
0.55018586	0.4498142									
0.50716716	0.49283287									
0.4769905	0.5230096									
0.35616568	0.64383423									
0.39013854	0.6098615									
0.3448378	0.6551622									
0.26597664	0.7340234									
0.35671392	0.64328605									
0.3685519	0.63144815									
0.23385459	0.7661454									
0.3949028	0.60509723									
0.510133	0.48986694									
0.4279643	0.5720357									
0.5301114	0.46988863									
0.40773448	0.59226555									
0.70477676	0.29522324									
0.7395344	0.2604656									
0.76556724	0.2344328									
0.42087105	0.5791289									
0.38059905	0.619401									
0.27779263	0.7222074									
0.47102335	0.5289767									
0.6172107	0.38278928									
0.44209173	0.55790824									
0.82063437	0.17936562									
0.8589376	0.14106244									
0.79162496	0.20837507									
0.2642655	0.7357345									
0.2830901	0.7169099									
0.24892773	0.7510722									
0.5330268	0.4669732									
0.53909063	0.4609094									
0.715774	0.284226									
0.4527141	0.5472859									
0.46262535	0.5373747									
0.4607807	0.5392193									
0.32585794	0.674142									
0.32152447	0.67847556									
0.29422724	0.70577276									
0.6528057	0.3471943									
0.62106544	0.37893456									
0.35173652	0.6482635									
0.63934976	0.36065015									
0.35950407	0.640496									
0.2962407	0.7037593									
0.34849048	0.6515096									
0.5677356	0.43226436									
0.6887531	0.3112469									
0.6308642	0.3691358									
0.7413923	0.25860766									
0.49880275	0.5011972									
0.3167001	0.6832999									
0.41942486	0.5805751									
0.32859826	0.6714018									
0.29693878	0.7030612									
0.23830426	0.76169574									
0.37014192	0.6298581									
0.44946674	0.55053324									
0.30174527	0.69825476									
0.16950755	0.83049244									
0.3289692	0.67103076									
0.5229622	0.4770378									
0.3654681	0.6345319									
0.40769193	0.59230804									
0.3487715	0.6512285									
0.33318543	0.6668145									
0.5083388	0.4916612									
0.6041118	0.3958882									
0.67402023	0.32597977									
0.61209	0.38790998									
0.7058518	0.29414827									
0.5165844	0.48341563									
0.5340718	0.46592814									
0.64922553	0.35077453									
0.6731835	0.32681656									
0.2977799	0.7022201									
0.4470647	0.5529353									
0.23351368	0.76648635									
0.37746271	0.6225373									
0.37983492	0.6201651									
0.42227498	0.57772505									
0.42467913	0.5753209									
0.4970324	0.50296766									
0.39544073	0.60455924									
0.15564187	0.84435815									
0.23921214	0.76078784									
0.28117743	0.71882254									
0.4948124	0.50518763									
0.4905445	0.5094555									
